team_name, image_src
TCU Horned Frogs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png&scale=crop&cquality=40&location=origin&w=80&h=80
Texas Tech Red Raiders, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png&scale=crop&cquality=40&location=origin&w=80&h=80
UCF Knights, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&scale=crop&cquality=40&location=origin&w=80&h=80
Utah Utes, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png&scale=crop&cquality=40&location=origin&w=80&h=80
West Virginia Mountaineers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png&scale=crop&cquality=40&location=origin&w=80&h=80
Illinois Fighting Illini, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png&scale=crop&cquality=40&location=origin&w=80&h=80
Indiana Hoosiers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&scale=crop&cquality=40&location=origin&w=80&h=80
Iowa Hawkeyes, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&scale=crop&cquality=40&location=origin&w=80&h=80
Maryland Terrapins, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png&scale=crop&cquality=40&location=origin&w=80&h=80
Michigan State Spartans, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&scale=crop&cquality=40&location=origin&w=80&h=80
Michigan Wolverines, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&scale=crop&cquality=40&location=origin&w=80&h=80
Minnesota Golden Gophers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&scale=crop&cquality=40&location=origin&w=80&h=80
Nebraska Cornhuskers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png&scale=crop&cquality=40&location=origin&w=80&h=80
Northwestern Wildcats, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png&scale=crop&cquality=40&location=origin&w=80&h=80
Ohio State Buckeyes, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&scale=crop&cquality=40&location=origin&w=80&h=80
Oregon Ducks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&scale=crop&cquality=40&location=origin&w=80&h=80
Penn State Nittany Lions, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&scale=crop&cquality=40&location=origin&w=80&h=80
